STATIONKEY,STARTLAT,STARTLON,STARTDEPTH,START_TIME,ENDLAT,ENDLON,ENDDEPTH,END_TIME,TIME_ZONE,EFFORT,NUMBERHOOKS,HOOKTYPE,LLINEGEAR,LLINEHOOKSIZE,TEMPAIR,BAROPRES,WINDSPD,WINDDIR,WATERCOLOR,FORELULE,CLOUDCOVER,PRECIPITATION,WAVE_HGHT,SEA_COND,COMMENT
421800073,29.9667,-88.4500,27.4,15AUG95:12:41,29.9667,-88.4833,27.4,15AUG95:13:41,4,60,100,J,BL,3,30.0,1014.0,7.0,10,G,0,.,0,0.0,2,
421800074,30.0500,-88.7333,14.6,15AUG95:16:07,30.0500,-88.7500,12.8,15AUG95:17:07,4,60,100,J,BL,3,30.0,1014.0,,,G,0,.,0,0.0,2,
421800075,29.8667,-88.7167,16.5,15AUG95:19:02,29.9000,-88.7167,14.6,15AUG95:20:03,4,61,100,J,BL,3,30.0,1010.0,5.0,235,G,0,.,0,0.0,2,
421800076,29.7667,-88.5833,23.8,15AUG95:22:02,29.8000,-88.5833,23.8,15AUG95:23:02,4,60,100,J,BL,3,29.0,1012.0,8.0,305,G,0,.,0,0.0,2,
421800078,29.3667,-89.0333,11.0,16AUG95:06:01,29.3500,-89.0333,11.0,16AUG95:07:11,4,70,100,J,BL,3,29.0,1012.0,10.0,350,G,0,.,0,0.0,2,
421800079,29.3833,-88.7667,34.7,16AUG95:09:42,29.3667,-88.7667,43.9,16AUG95:10:52,4,70,100,J,BL,3,31.0,1013.0,8.0,30,G,0,.,0,0.0,2,
421800080,29.6167,-88.4667,42.1,16AUG95:14:04,29.6000,-88.4833,43.9,16AUG95:15:06,4,62,100,J,BL,3,31.0,1013.0,6.0,305,G,0,.,0,0.0,2,
421800081,29.7500,-88.2667,36.6,16AUG95:17:33,29.7500,-88.2333,36.6,16AUG95:18:33,4,60,100,J,BL,3,31.0,1010.0,10.0,270,G,0,.,0,0.0,2,
421800082,29.8667,-88.0667,32.9,16AUG95:20:52,29.8833,-88.0667,32.9,16AUG95:21:52,4,60,100,J,BL,3,29.0,1012.0,13.0,350,G,0,.,0,0.0,2,
422200001,29.8600,-88.3427,34.0,01AUG96:05:23,29.8767,-88.3405,33.5,01AUG96:06:28,4,65,100,J,BL,3,26.7,1016.8,10.0,225,G,,0,0,0.3,3,"deploy 0504am, 2952.6 - 8820.43;     start time and position equals begin soak, end time and position equals en"
422200003,26.3333,-96.4917,64.0,03AUG96:18:11,26.3447,-96.5035,60.0,03AUG96:19:13,4,62,100,J,BL,3,29.3,1012.7,15.0,150,T,,0,0,1.0,4,"set, 1752/2620.64/9630.25"
422200004,26.0970,-97.0785,20.1,03AUG96:23:13,26.1053,-97.0933,22.5,04AUG96:00:20,4,67,100,J,BL,3,26.9,1013.8,14.0,170,T,,.,0,1.0,4,set/2254/2606.28/9705.61/10f         e.haul/0051/2606.08/9704.93/12.6f
422200005,26.7830,-96.9283,46.6,04AUG96:04:39,26.7947,-96.9358,46.6,04AUG96:05:42,4,63,100,J,BL,3,28.1,1013.1,13.0,165,B,,0,0,1.0,4,set/421/2647.59/9656.19.25.5f        e.haul/0619/2647.43/9655.84/25.5f
422200006,27.1093,-96.8772,51.0,04AUG96:08:30,27.1198,-96.8793,53.9,04AUG96:09:35,4,65,100,J,BL,3,28.7,1014.0,14.0,150,T,,0,0,1.0,4,set/0814/2707.23/9652.98/27f         e.haul/1002/2706.67/9652.19/29f
422200007,27.1738,-97.0270,65.8,04AUG96:11:30,27.1855,-97.0382,62.2,04AUG96:12:32,4,62,100,J,BL,3,29.3,1015.2,15.0,150,T,,.,0,1.2,4,set/1113/2711.13/9702.41/34f         e.haul/1316/2710.89/9701.85/35f
422200008,27.4902,-96.7332,49.4,04AUG96:16:39,27.5010,-96.7443,47.5,04AUG96:17:39,4,60,100,J,BL,3,29.4,1014.0,15.0,155,T,,0,0,1.0,4,set/2730.11/9644.76/25.5f
422200009,27.5895,-96.8330,33.8,04AUG96:19:22,27.6015,-96.8335,34.7,04AUG96:20:23,4,61,100,J,BL,3,29.3,1012.8,17.0,140,T,,0,0,1.0,4,set 1905/2736.1/9650.65/18f          e.haul 2053/2735.59/9650.08
422200010,27.8547,-96.3182,49.4,05AUG96:00:12,27.8638,-96.3298,47.5,05AUG96:01:34,4,82,100,J,BL,3,29.0,1015.1,18.0,150,T,,0,0,1.0,4,set 2354/2751.82/9619.94/26f         e.haul 0204/2751.69/9619.51/26f
422200011,27.8708,-95.8832,58.5,05AUG96:04:47,27.8823,-95.8902,57.6,05AUG96:05:49,4,62,100,J,BL,3,29.3,1014.4,17.0,160,T,,0,0,1.0,4,set 0429/2753.00/9553.5/31.5f        e.haul 0631/2752.42/9529.8/32f
422200013,28.5135,-95.4067,26.9,05AUG96:15:56,28.5250,-95.4150,26.5,05AUG96:16:57,4,61,100,J,BL,3,30.3,1015.9,13.0,155,T,,0,0,1.1,4,set 1537/2831.5/9524.9/14.5f         e.haul/1722/2830.9/9524.4/14f
422200014,28.1607,-95.0698,50.8,05AUG96:20:29,28.1703,-95.0833,49.9,05AUG96:21:39,4,70,100,J,BL,3,29.8,1015.0,12.0,140,T,,0,0,1.1,4,set 2013/2810.26/9505.1/27.2f        e.haul 2204/2809.9/9504.3/27.8
