STATIONKEY,TAXON,NUMBER,WEIGHT,WTCODE
40260175,SPHYRNA MOKARRAN,1,9.0,
40260175,RHIZOPRIONODON TERRAENOVAE,3,10.7,
40260175,CARCHARHINUS ACRONOTUS,1,10.8,
40260175,RHIZOPRIONODON TERRAENOVAE,1,,
40260176,CARCHARHINUS ACRONOTUS,1,5.7,
40260176,RHIZOPRIONODON TERRAENOVAE,10,28.7,
40260176,CARCHARHINUS LIMBATUS,1,30.0,
40260176,RHIZOPRIONODON TERRAENOVAE,3,,
40260177,RHIZOPRIONODON TERRAENOVAE,40,136.0,
40260177,CARCHARHINUS ACRONOTUS,1,9.0,
40260177,CARCHARHINUS ACRONOTUS,4,32.5,
40260178,LUTJANUS CAMPECHANUS,3,24.7,
40260178,RHIZOPRIONODON TERRAENOVAE,48,165.7,
40260178,RHIZOPRIONODON TERRAENOVAE,1,,
40260178,CARCHARHINUS ACRONOTUS,5,46.7,
40260178,CARCHARHINUS LIMBATUS,1,47.0,
40260179,RHIZOPRIONODON TERRAENOVAE,2,,
40260179,RHIZOPRIONODON TERRAENOVAE,16,34.3,
40260179,CARCHARHINUS LEUCAS,2,235.0,
40260179,CARCHARHINUS PLUMBEUS,1,90.0,
40260180,CARCHARHINUS PLUMBEUS,2,96.0,
40260180,CARCHARHINUS FALCIFORMIS,1,3.0,
40260180,RHIZOPRIONODON TERRAENOVAE,3,6.3,
40260181,OPHICHTHUS REX,1,0.7,
40260181,MUSTELUS CANIS,1,5.4,
40260181,RHIZOPRIONODON TERRAENOVAE,1,,
40260181,RHIZOPRIONODON TERRAENOVAE,8,18.0,
40260181,LUTJANUS CAMPECHANUS,2,16.0,
40260181,SPHYRNA LEWINI,1,103.0,
40260182,MUSTELUS CANIS,2,8.2,
40260183,LOPHOLATILUS CHAMAELEONTICEPS,1,2.0,
40260183,EPINEPHELUS FLAVOLIMBATUS,2,16.1,
40260184,SQUALUS CUBENSIS,1,0.8,
40260184,EPINEPHELUS FLAVOLIMBATUS,1,9.3,
40260184,LOPHOLATILUS CHAMAELEONTICEPS,1,1.3,
40260184,BROTULA BARBATUM,1,0.7,
40260185,LUTJANUS CAMPECHANUS,1,5.5,
40260185,EPINEPHELUS FLAVOLIMBATUS,5,25.2,
40260185,OPHICHTHUS PUNCTICEPS,2,1.0,
40260185,CAULOLATILUS MICROPS,1,1.2,
40260186,LOPHOLATILUS CHAMAELEONTICEPS,6,15.9,
